CASE_NO,APPLICATION_TYPE,DECISION_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,BASIC_HOURS_PER_WEEK,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,ALIEN_WORK_STATE
"C-06349-03793","H-2A","01/18/07 14:12:00","Certified - Full","2/15/2007","11/30/2007","ANTON COOP","25745 HIGHWAY 36, BOX 49",,"ANTON","CO","80801-0049",,"FARMWORKER, GRAIN I",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.3700,"hr","CO"
"C-06348-03781","H-2A","01/10/07 15:33:00","Certified - Full","2/9/2007","11/30/2007","WESTERN STATES OUTDOORS","4355 CR 29",,"HAYDEN","CO","81638","ELAINE FLAMING","FARMWORKER, GENERAL I",2.0000000000000000e+00,2.0000000000000000e+00,4.8000000000000000e+01,8.3700,"hr","CO"
"C-06320-03401","H-2A","12/29/06 15:27:00","Certified - Full","2/1/2007","11/1/2007","CHRIS WISDOM","51600 CR LL",,"WRAY","CO","80758","AG-EMPLOYMENT RESOURCES - SPENCER GARTIN","FARMWORKER, GENERAL I",4.0000000000000000e+00,4.0000000000000000e+00,4.8000000000000000e+01,8.3700,"hr","CO"
"C-06325-03438","H-2A","12/12/06 13:54:00","Certified - Full","1/11/2007","11/15/2007","SRATTON EQUITY COOP","98 COLORADO AVE",,"STRATTON","CO","80836","DENNIS R. SUTTON, MANAGER","FARMWORKER, GENERAL I",3.0000000000000000e+00,3.0000000000000000e+00,4.8000000000000000e+01,8.3700,"hr","CO"
"C-06275-03028","H-2A","10/20/06 16:24:00","Certified - Full","11/20/2006","9/15/2007","SOWELL ORCHARDS","339 33-3/4 ROAD",,"PALISADE","CO","81526","DAVID DONALDSON (USAMEX LTD)","FARMWORKER FRUIT II",1.8000000000000000e+01,1.8000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","CO"
"A-07085-03677","H-2A","04/23/07 15:27:00","Certified - Full","5/21/2007","11/9/2007","VINCENT FARMS, LLC","1193 SHELDON STREET","P.O. BOX 170","WEST SUFFIELD","CT","06093","JOSEPH YOUNG","FARM WORKER; DIVERSIFIED CROPS II",3.0000000000000000e+00,3.0000000000000000e+00,4.8000000000000000e+01,9.5000,"hr","CT"
"A-07107-03866","H-2A","05/15/07 15:33:00","Certified - Full","6/1/2007","11/15/2007","DONDERO ORCHARDS, LLC","500 COUNTRY CLUB ROAD",,"SOUTH GLASTONBURG","CT","06073","JOSEPH YOUNG","FARM WORKER; DIVERSIFIED CROPS II",2.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+01,9.5000,"hr","CT"
"A-07117-03967","H-2A","05/22/07 10:41:00","Certified - Full","6/16/2007","9/8/2007","MARKOWSKI FARMS","216 BABBS ROAD",,"W. SUFFIELD","CT","06093","JOSEPH YOUNG","FARMWORKER, FIELD CROP",1.5000000000000000e+01,1.5000000000000000e+01,4.0000000000000000e+01,9.5000,"hr","CT"
"A-07137-04127","H-2A","05/22/07 10:44:00","Certified - Full","6/16/2007","9/8/2007","MARKOWSKI FARMS","216 BABBS ROAD",,"W. SUFFIELD","CT","06093","JOSEPH YOUNG","FARMWORKER, FIELD CROP",1.5000000000000000e+01,1.5000000000000000e+01,4.0000000000000000e+01,9.5000,"hr","CT"
"A-07128-04052","H-2A","05/23/07 19:20:00","Certified - Full","6/23/2007","11/1/2007","PINECROFT FARMS","159 BUTTS ROAD",,"WOODSTOCK","CT","06281","JOSEPH YOUNG","FARM WORKER; DIVERSIFIED CROPS II",1.4000000000000000e+01,1.4000000000000000e+01,4.5000000000000000e+01,9.5000,"hr","CT"
"A-07096-03770","H-2A","04/25/07 08:47:00","Certified - Full","5/21/2007","11/1/2007","PINECROFT FARMS","159 BUTTS ROAD",,"WOODSTOCK","CT","06281","JOSEPH YOUNG, EXECUTIVE DIRECTOR","FARM WORKER; DIVERSIFIED CROPS II",3.0000000000000000e+00,3.0000000000000000e+00,4.5000000000000000e+01,9.5000,"hr","CT"
"A-07039-03088","H-2A","02/23/07 12:29:00","Certified - Full","3/26/2007","12/15/2007","MARKOWSKI FARMS","216 BABBS ROAD",,"W. SUFFIELD","CT","06093","JOSEPH YOUNG","FARM WORKER; TOBACCO",2.5000000000000000e+01,2.5000000000000000e+01,4.0000000000000000e+01,9.1600,"hr","CT"
"A-07029-02903","H-2A","03/16/07 12:58:00","Certified - Full","4/16/2007","7/15/2007","CANAM HARVESTING, LLC","921 N. MARKET STREET,","P. O. BOX 418","SEAFORD","DE","19973","JULIE LESSARD","FARMWORKER; VEGETABLES",2.3000000000000000e+01,2.3000000000000000e+01,4.0000000000000000e+01,13.5000,"hr","DE"
"A-07241-04688","H-2A","09/14/07 11:09:00","Certified - Full","10/15/2007","7/15/2008","DESOTO FRUIT & HARVESTING, INC.","P.O. BOX 3106",,"ARCADIA","FL","34265",,"HARVEST WORKER; FRUIT",4.0000000000000000e+02,4.0000000000000000e+02,3.6000000000000000e+01,8.5600,"hr","FL"
"A-06255-02109","H-2A","10/12/06 16:21:00","Certified - Full","11/15/2006","7/30/2007","SAMUEL BARAJAS","1375 SE WALSTON AVE",,"ARCADIA","FL","34266",,"HARVEST WORKER FRUIT",5.0000000000000000e+01,5.0000000000000000e+01,4.0000000000000000e+01,8.5600,"hr","FL"
"A-06310-02269","H-2A","12/21/06 10:40:00","Certified - Partial","12/18/2006","6/30/2007","N & R SERVICES OF CENTRAL FLORIDA INC.","5425 ELVIS PRESLEY BLVD. SUITE B",,"MEMPHIS","TN","38116",,"HARVEST WORKER, FRUIT",1.3600000000000000e+02,1.0400000000000000e+02,3.6000000000000000e+01,8.5600,"hr","FL"
"A-06331-02331","H-2A","12/22/06 14:33:00","Certified - Full","1/8/2007","6/30/2007","N & R SERVICES OF CENTRAL FLORIDA INC.","5425 ELVIS PRESLEY BLVD. SUITE B",,"MEMPHIS","TN","38116",,"HARVEST WORKER, FRUIT",4.0000000000000000e+01,4.0000000000000000e+01,3.6000000000000000e+01,8.5600,"hr","FL"
"A-07054-03314","H-2A","03/23/07 08:44:00","Certified - Full","4/15/2007","2/15/2008","N & R SERVICES OF CENTRAL FLORIDA INC.","5425 ELVIS PRESLEY BLVD. SUITE B",,"MEMPHIS","TN","38116",,"VEGETABLE HAND HARVESTER",3.5000000000000000e+01,3.5000000000000000e+01,3.6000000000000000e+01,8.5600,"hr","FL"
"A-07092-03725","H-2A","04/20/07 10:15:00","Certified - Full","5/17/2007","8/31/2007","BASIL CAMPBELL","710 NEW HOPE STREET",,"AUBURNDALE","FL","33823","JOSEPH YOUNG","HARVEST WORKER",8.0000000000000000e+00,8.0000000000000000e+00,4.0000000000000000e+01,8.5600,"hr","FL"
"A-06347-02420","H-2A","01/08/07 10:12:00","Denied","1/26/2007","6/10/2007","BASIL CAMPBELL","710 NEW HOPE STREET",,"AUBURNDALE","FL","33823","JOSEPH YOUNG, EXECUTIVE DIRECTOR NEAC","HARVEST WORKER, FRUIT",8.0000000000000000e+00,,4.0000000000000000e+01,8.5600,"hr","FL"
"A-06328-02326","H-2A","12/21/06 15:20:00","Certified - Full","1/5/2007","11/5/2007","FRALEIGH NURSERY LLC","P. O. BOX 262",,"MADISON","FL","32341","AGWORKS, INC. - DAN BREMER","HORTICULTURAL WORKER",2.0000000000000000e+01,2.0000000000000000e+01,4.0000000000000000e+01,8.5600,"hr","FL"
"A-07135-04091","H-2A","06/01/07 10:25:00","Denied","6/21/2007","12/21/2007","CUELLAR ENTERPRISES, INC.","4244 W. TENNESSE STREET, 180",,"TALLAHASSEE","FL","32304","EMILIO MARTINEZ","TOMATO HARVESTER",7.0000000000000000e+01,,4.0000000000000000e+01,8.5600,"hr","FL"
"A-07233-04656","H-2A","09/18/07 09:35:00","Certified - Full","10/6/2007","6/30/2008","T & S HARVESTING","1250 SR 29N",,"FELDA","FL","33930","LESLI DOWNS & KRIS GOSNEY","FARM EQUIPMENT OPERATOR",1.5000000000000000e+01,1.5000000000000000e+01,4.5000000000000000e+01,8.5600,"hr","FL"
"A-06306-02254","H-2A","11/17/06 14:12:00","Certified - Full","12/10/2006","6/15/2007","JUAN TOVAR - BANDA","P.O BOX 1432",,"FROST PROOF","FL","33843","MARY K BARBER","HARVESTER, FRUIT",1.7000000000000000e+01,1.7000000000000000e+01,3.6000000000000000e+01,8.5600,"hr","FL"
"A-07206-04586","H-2A","08/27/07 11:21:00","Certified - Full","9/26/2007","11/24/2007","CASTRO HARVESTING","113 SOUTH STATE STREET",,"LYONS","GA","30436","GAIL LEWIS","FARM WORKER/DIVERSIFIED CROPS II",6.5000000000000000e+01,6.5000000000000000e+01,4.0000000000000000e+01,8.5700,"hr","GA"
"A-07072-03533","H-2A","04/10/07 14:42:00","Certified - Full","4/30/2007","10/30/2007","TWO BROTHERS FARM, INC.","231 ADAMS AVENUE, #12",,"ASHBURN","GA","31714","SERVICIOS GLOBAL","FARM WORKER;  VEGETABLES II",4.0000000000000000e+01,4.0000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07114-03939","H-2A","05/18/07 11:38:00","Certified - Full","6/13/2007","7/31/2007","UNIQUE FARM SERVICES, INC.","305 NE 2ND DR.",,"HOMESTEAD","FL","33030","AGWORKS,  INC.","FARMWORKER",2.5000000000000000e+01,2.5000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07088-03712","H-2A","04/20/07 11:23:00","Certified - Full","5/13/2007","7/5/2007","DOUBLE F & F FARMS, LLC.","159 WILLIAM GIBBS ROAD",,"TIFTON","GA","31793","SERVICIOS GLOBAL","FARM WORKER; DIVERSIFIED CROPS II",3.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07038-03055","H-2A","02/23/07 16:09:00","Certified - Full","3/26/2007","1/20/2008","RANCHO LARGO DE RAMA, LLC","POST OFFICE BOX 1168",,"OMEGA","GA","31775","AGWORKS,  INC.","FARMWORKER",3.0000000000000000e+02,3.0000000000000000e+02,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07052-03277","H-2A","03/23/07 13:36:00","Certified - Full","4/14/2007","7/3/2007","CHAMBERS BROTHERS BLUEBERRIES, LLC & HORNER FARMS, INC. JOINTLY","124 HORNER DR.",,"HOMERVILLE","GA","31634","AGWORKS,  INC.","FARMWORKER",8.8000000000000000e+01,8.8000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07052-03277","H-2A","03/23/07 13:36:00","Certified - Full","4/14/2007","7/3/2007","CHAMBERS BROTHERS BLUEBERRIES, LLC","200 ALLEN LEE ROAD",,"HOMERVILLE","GA","31634",,"FARMWORKER",8.4000000000000000e+01,8.4000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07052-03277","H-2A","03/23/07 13:36:00","Certified - Full","4/14/2007","7/3/2007","HORNER FARMS, INC.","124 HORNER DR.",,"HOMERVILLE","GA","31634",,"FARMWORKER",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07065-03452","H-2A","04/11/07 08:28:00","Certified - Full","4/28/2007","7/15/2007","JAB-J, INC. DBA ALMA SUNBELT BLUEBERRIES","1117 BENNETT STILL HWY",,"ALMA","GA","31510","AGWORKS,  INC.","FARMWORKER",8.0000000000000000e+01,8.0000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-06312-02282","H-2A","12/11/06 18:04:00","Certified - Full","1/4/2007","8/20/2007","TAYLOR ORCHARDS","POST OFFICE BOX 975",,"REYNOLDS","GA","31076","AGWORKS, INC.","FARMWORKER",1.7500000000000000e+02,1.7500000000000000e+02,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07128-04056","H-2A","05/18/07 15:13:00","Certified - Full","5/25/2007","7/25/2007","N & R SERVICES OF CENTRAL FLORIDA INC.","5425 ELVIS PRESLEY BLVD.","SUITE B","MEMPHIS","GA","38116",,"HARVEST WORKER; VEGETABLES",1.2000000000000000e+02,1.2000000000000000e+02,3.6000000000000000e+01,8.5100,"hr","GA"
"A-07037-03039","H-2A","02/23/07 16:55:00","Certified - Full","3/25/2007","1/25/2008","T&D MASON FARMS, LLC","130 VAN DRIVE",,"KATHLEEN","GA","31047","AGWORKS,  INC.","FARMWORKER",1.0000000000000000e+01,1.0000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07051-03273","H-2A","03/26/07 11:10:00","Certified - Full","4/12/2007","1/31/2008","EVANS FARM LLC","POST OFFICE BOX 913",,"FORT VALLEY","GA","31030","AGWORKS, INC.","FARMWORKER , FIELD CROP",2.0000000000000000e+01,2.0000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07204-04574","H-2A","08/08/07 16:26:00","Certified - Full","9/6/2007","10/15/2007","N & R SERVICES OF CENTRAL FLORIDA, INC.","5425 ELVIS PRESLEY BLVD.","SUITE B","MEMPHIS","TN","38116",,"HARVEST WORKER; VEGETABLE",7.5000000000000000e+01,7.5000000000000000e+01,3.6000000000000000e+01,8.5100,"hr","GA"
"A-07240-04683","H-2A","09/20/07 10:15:00","Certified - Full","10/20/2007","1/15/2008","JUANA ROJAS, FARM LABOR CONTRACTOR","219 EMMANUEL CIRCLE",,"LYONS","GA","30436","AGWORKS,  INC.","FARMWORKER FIELD CROP",8.4000000000000000e+01,8.4000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07036-03016","H-2A","03/09/07 14:42:00","Certified - Full","4/1/2007","6/15/2007","YESENIA MERINO","PO BOX 582",,"METTER","GA","30439","AGWORKS,  INC.","HARVEST WORKER, VEGETABLE",6.0000000000000000e+01,6.0000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","GA"
"A-06257-02122","H-2A","10/04/06 13:46:00","Certified - Full","11/3/2006","1/10/2007","YESENIA MERINO, FARM LABOR CONTRACTOR","PO BOX 582",,"METTER","GA","30439","AGWORKS,  INC.","FARMWORKER",3.5000000000000000e+01,3.5000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07030-02949","H-2A","03/12/07 11:50:00","Certified - Full","4/10/2007","12/30/2007","LETISIA SALAZAR, FARM LABOR CONTRACTOR","ROUTE 1, BOX 32",,"MCRAE","GA","31055","AGWORKS,  INC.","FARMWORKER, DIVERSIFIED",1.3200000000000000e+02,1.3200000000000000e+02,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07045-03168","H-2A","03/14/07 16:25:00","Certified - Full","4/7/2007","5/23/2007","NAHUM ORNELAS HARVESTING","864 GLORIA JEAN RD.",,"REIDSVILLE","GA","30499","AGWORKS,  INC.","FARMWORKER, FIELD CROP",1.2000000000000000e+02,1.2000000000000000e+02,4.0000000000000000e+01,8.3700,"hr","GA"
"A-06255-02107","H-2A","10/04/06 15:22:00","Certified - Full","11/2/2006","12/23/2006","N. NAHUM ORNELAS HARVESTING","864 GLORIA JEAN RD.",,"REIDSVILLE","GA","30499","AGWORKS,  INC.","FARMWORKER",5.8000000000000000e+01,5.8000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07029-02905","H-2A","02/13/07 14:30:00","Certified - Full","3/15/2007","8/15/2007","LITTLE BILLIES COMPANY","237 PROMINENT LOOP",,"MCDONOUGH","GA","30253","USAMEX - DAVID DONALDSON","FARMWORKER, FRUIT II",7.0000000000000000e+00,7.0000000000000000e+00,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07205-04582","H-2A","09/10/07 18:07:00","Certified - Full","10/11/2007","8/10/2008","BIG 6 FARMS, L.L.C.","5575 ZENITH MILL ROAD",,"FORT VALLEY","GA","31030","AGWORKS, INC.","FARMWORKER DIVERSIFIED CROPS",1.5000000000000000e+02,1.5000000000000000e+02,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07193-04496","H-2A","08/06/07 10:50:00","Certified - Full","9/5/2007","12/20/2007","GREGORIO TLACUATL, FARM LABOR CONTRACTOR","1929 ROD STRICKLAND RD.",,"REIDSVILLE","GA","30453","AGWORKS,  INC.","FARMWORKER",7.0000000000000000e+01,7.0000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07113-03916","H-2A","06/01/07 17:18:00","Certified - Full","7/1/2007","1/15/2008","HEATH WETHERINGTON, INC.","4796 COOL SPRINGS ROAD",,"NORMAN PARK","GA","31771","AGWORKS,  INC.","FARMWORKER, VEGETABLE II",5.2000000000000000e+01,5.2000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07134-04081","H-2A","06/15/07 19:11:00","Certified - Full","7/16/2007","12/31/2007","QUALITY PRODUCE, LLC","P.O. BOX 822","195 TY TY OMEGA ROAD","TIFTON","GA","31793","AGWORKS, INC.","FARMWORKER, VEGETABLE",3.2700000000000000e+02,3.2700000000000000e+02,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07117-03971","H-2A","05/29/07 11:23:00","Certified - Full","6/11/2007","7/15/2007","HEARTLAND HARVESTING, INC.","1253 U.S. HWY SOUTH",,"SEBRING","FL","33870-2172","FLORIDA FRUIT AND VEGETABLE ASSOCIATION","HARVEST WORKER; FRUIT",2.8000000000000000e+01,2.8000000000000000e+01,3.6000000000000000e+01,8.5100,"hr","GA"
"A-07080-03617","H-2A","05/03/07 14:41:00","Denied","5/10/2007","3/10/2008","N & R SERVICES OF CENTRAL FLORIDA, INC.","5425 ELVIS PRESLEY BLVD.","SUITE B","MEMPHIS","TN","38116",,"HARVEST WORKER, VEGETABLE",1.2000000000000000e+02,,3.6000000000000000e+01,8.5100,"hr","GA"
"A-07078-03602","H-2A","04/06/07 15:36:00","Certified - Full","5/6/2007","7/15/2007","MCNEILL HARVEST CORP.","1700 N.W. AVENUE D",,"BELLE GLADE","FL","33430","AGWORKS,  INC.","HARVEST WORKER, VEGETABLE",1.5000000000000000e+02,1.5000000000000000e+02,4.0000000000000000e+01,8.5100,"hr","GA"
"A-07051-03268","H-2A","03/30/07 12:36:00","Certified - Full","4/17/2007","11/20/2007","BILLY R. EVANS D/B/A OKEE B, INC.","1125 N.E. 18TH STREET",,"BELLE GLADE","FL","33430","TITO ELI GONZALEZ","FARM WORKER; VEGETABLES",7.5000000000000000e+01,7.5000000000000000e+01,4.8000000000000000e+01,8.5600,"hr","GA"
"A-07037-03052","H-2A","03/12/07 15:16:00","Certified - Full","4/1/2007","1/1/2008","J&R BAKER FARMS, LLC","561 ROUNDTREE BRIDGE ROAD",,"NORMAN PARK","GA","31771","AGWORKS, INC.","FARMWORKER, VEGETABLE II",1.4100000000000000e+02,1.4100000000000000e+02,4.0000000000000000e+01,8.3700,"hr","GA"
"A-07036-03013","H-2A","02/20/07 11:41:00","Certified - Full","3/19/2007","11/30/2007","TURFGRASS AMERICA LP","2012 AVENUE G",,"ROSENBERG","TX","77471","FLORIDA FRUIT & VEGETABLE ASSOCIATION","GRASS FARM LABORER",1.5000000000000000e+01,1.5000000000000000e+01,4.8000000000000000e+01,8.3700,"hr","GA"
"A-06312-02283","H-2A","12/11/06 12:01:00","Certified - Full","1/5/2007","8/10/2007","BIG 6 FARMS, L.L.C.","5575 ZENITH MILL ROAD",,"FORT VALLEY","GA","31030","AGWORKS, INC.","FARMWORKER DIVERSIFIED CROPS",1.5000000000000000e+02,1.5000000000000000e+02,4.0000000000000000e+01,8.3700,"hr","GA"
"A-06296-02227","H-2A","11/21/06 18:32:00","Certified - Full","12/21/2006","8/10/2007","BARBOUR FRUIT & NUT FARM","11310 GEORGIA HIGHWAY 42 SOUTH",,"BYRON","GA","31008","AGWORKS, INC.","FARMWORKER",4.0000000000000000e+01,4.0000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","GA"
"C-06299-03202","H-2A","12/05/06 16:22:00","Denied","12/11/2006","3/31/2007","GLOBAL HORIZONS, INC. (PIONEER HI-BRED INTERNATIONAL, INC.)","11111 SANTA MONICA BLVD., SUITE 1440",,"LOS ANGELES","CA","90025",,"FARMWORKER GRAIN II",1.5000000000000000e+01,,4.0000000000000000e+01,9.9900,"hr","HI"
"C-06319-03383","H-2A","12/05/06 16:29:00","Denied","12/31/2006","2/26/2007","GLOBAL HORIZONS, INC (MONDEN FARMS LLC)","11111 SANTA MONICA BLVD., SUITE 1440",,"LOS ANGELES","CA","90025",,"FARMWORKER DIVERSIFIED CROP II",8.0000000000000000e+00,,4.0000000000000000e+01,9.9900,"hr","HI"
"C-06279-03068","H-2A","10/25/06 16:19:00","Certified - Full","11/20/2006","12/30/2006","GLOBAL HORIZONS, INC (ML MACADAMIA ORCHARDS, L.P.)","11111 SANTA MONICA BLVD., SUITE 1440",,"LOS ANGELES","CA","90025",,"FARMWORKER FRUIT II",3.0000000000000000e+01,3.0000000000000000e+01,4.0000000000000000e+01,9.9900,"hr","HI"
"C-06320-03398","H-2A","12/05/06 16:27:00","Denied","1/2/2007","3/31/2007","GLOBAL HORIZONS, INC (GRASSMAN FARMS, INC.)","11111 SANTA MONICA BLVD. SUITE 1440",,"LOS ANGELES","CA","90025",,"FARMWORKER FRUIT II",2.0000000000000000e+00,,4.0000000000000000e+01,9.9900,"hr","HI"
"C-07099-05418","H-2A","06/20/07 11:30:00","Certified - Full","7/20/2007","4/20/2008","KONA COFFEE & TEA CO., INC.","73-4174 HULIKO'A DRIVE",,"KAILUA-KONA","HI","96740",,"FARMWORKER FRUIT II",2.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+01,12.0000,"hr","HI"
"C-07065-05115","H-2A","06/07/07 14:20:00","Certified - Full","7/9/2007","2/15/2008","CLASSIC PACIFIC","74-4820 MAMALAHOA HWY",,"HOLUALOA","HI","96725","WALTER DAHLEN","FARMWORKER, FRUIT II",3.6000000000000000e+01,3.6000000000000000e+01,4.0000000000000000e+01,10.3200,"hr","HI"
"C-06233-02863","H-2A","10/10/06 16:06:00","Certified - Full","11/10/2006","8/31/2007","KONA QUEEN HAWAII, INC.","PO BOX 768",,"CAPTIN COOK","HI","96704","LEISHA VATNSDAL","BEE KEEPER",3.0000000000000000e+00,3.0000000000000000e+00,4.5000000000000000e+01,9.9900,"hr","HI"
"C-07043-04758","H-2A","03/01/07 08:18:00","Certified - Full","3/31/2007","12/15/2007","YADDOF/ JOHNSON APIARIES","32141 HWY 64",,"PRESTON","IA","52069","DEBRA L. HOFFARTH  AND WORLD BEE MANAGEMENT","BEEKEEPER",6.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+01,9.4900,"hr","IA"
"C-07106-05475","H-2A","06/13/07 11:03:00","Certified - Full","6/25/2007","10/15/2007","DEANDA BEAN WALKERS AND DETASSELERS","3904 STONE AVE",,"SIOUX CITY","IA","51106","DANIEL L. PALMQUIST","FARMWORKER, DIVERSIFIED CROPS II",2.0000000000000000e+01,2.0000000000000000e+01,4.0000000000000000e+01,10.0000,"hr","IA"
"C-07033-04618","H-2A","02/13/07 13:22:00","Certified - Full","3/17/2007","12/31/2007","S & W FARMS","1980 MOUND AVENUE",,"MUSCATINE","IA","52761","SOUTHERN IMPACT, LESLI DOWNS & KRIS GOSNEY","FARMWORKER GRAIN I",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,9.4600,"hr","IA"
"C-06279-03064","H-2A","11/08/06 08:54:00","Certified - Full","12/10/2006","4/30/2007","S & W FARMS","1980 MOUND AVENUE",,"MUSCATINE","IA","52761","TINA ANDREW","FARMWORKER LIVESTOCK",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,9.4900,"hr","IA"
"C-06353-03838","H-2A","01/31/07 18:16:00","Certified - Full","2/17/2007","12/15/2007","CHRISTIANSEN FARMS, INC.","520 SUNSET DRIVE",,"DENISON","IA","51442","LEISHA VATNSDAL","FARMWORKER GRAIN I",1.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e+01,9.4900,"hr","IA"
"C-07024-04466","H-2A","02/14/07 10:47:00","Certified - Full","3/15/2007","12/1/2007","JIM  P. GENGLER","1727 S. HENNEPIN",,"SIOUX CITY","IA","51106","LEISHA VATNSDAL","FARM WORKER-GRAIN I",1.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e+01,9.5000,"hr","IA"
"C-07170-05836","H-2A","07/09/07 11:46:00","Certified - Full","8/2/2007","6/1/2008","INGALLS HONEY","P.O. BOX 530, 204 E OAK STREET",,"BANCROFT","IA","50517","HELEEN VAN TONDER","BEEKEEPER",7.0000000000000000e+00,7.0000000000000000e+00,6.0000000000000000e+01,9.9500,"hr","IA"
"C-06229-02853","H-2A","10/31/06 14:50:00","Certified - Full","12/1/2006","4/30/2007","INGALLS HONEY","P.O. BOX 530, 204 E OAK STREET",,"BANCROFT","IA","50517","TINA ANDREW","BEEKEEPER",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,9.4900,"hr","IA"
"C-07059-05032","H-2A","04/06/07 12:07:00","Certified - Full","5/6/2007","2/8/2008","JOHN INGALLS","67 OAK LAKE",,"ALGONA","IA","50511","TINA ANDREW","BEE KEEPER",7.0000000000000000e+00,7.0000000000000000e+00,4.0000000000000000e+01,9.9500,"hr","IA"
"C-06319-03380","H-2A","01/30/07 11:19:00","Certified - Full","3/1/2007","12/10/2007","NORLIN GUTZ","5775 120TH STREET",,"STORM LAKE","IA","50588","LEISHA VATNSDAL","FARMWORKER, GENERAL I",4.0000000000000000e+00,4.0000000000000000e+00,5.0000000000000000e+01,9.4900,"hr","IA"
"C-07110-05506","H-2A","05/16/07 14:29:00","Certified - Full","6/5/2007","12/2/2007","BUSHMAN CUSTOM FARMING LLC","30975 LINCOLN RD",,"FORT ATKINSON","IA","52144","HELEEN VAN TONDER/GOLDEN OPPORTUNITIES INT LLC","FARM MACHINE OPERATOR",6.0000000000000000e+00,6.0000000000000000e+00,4.8000000000000000e+01,9.9500,"hr","IA"
"C-07065-05103","H-2A","05/01/07 12:00:00","Certified - Full","5/31/2007","12/15/2007","VAN KOOTEN FARMS, LLC","301 HILLSIDE DRIVE",,"LYNNVILLE","IA","50153",,"FARM LABORER",2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,10.0000,"hr","IA"
"C-06335-03572","H-2A","12/19/06 15:03:00","Certified - Full","1/18/2007","11/16/2007","KEN AND VICKIE FRANKEN- CITY VIEW FARMS LLC","4135 YELLOW AVENUE",,"SUTHERLAND","IA","51058","HELEEN VAN TONDER/GOLDEN OPPORTUNITIES INT LLC","FARMWORKER, LIVESTOCK",3.0000000000000000e+00,3.0000000000000000e+00,4.8000000000000000e+01,9.4900,"hr","IA"
"C-06325-03437","H-2A","12/07/06 12:08:00","Certified - Full","1/4/2007","11/1/2007","DAN LORCH   STONY CREEK PORK COMPANY","6996 220TH STREET",,"HARRIS","IA","51345","HELEEN VAN TONDER/GOLDEN OPPORTUNITIES INT LLC","FARMWORKER, LIVESTOCK",5.0000000000000000e+00,5.0000000000000000e+00,4.8000000000000000e+01,9.4900,"hr","IA"
"C-07192-05929","H-2A","08/15/07 17:17:00","Certified - Full","9/15/2007","11/15/2007","DON BRYANT ( BLACK MESA FARMS, LLC)","P.O.BOX 82",,"GLENNS FERRY","ID","83623","SNAKE RIVER FARMERS ASSOCIATION","FARM WORKER, GENERAL I",6.0000000000000000e+00,6.0000000000000000e+00,4.8000000000000000e+01,8.7600,"hr","ID"
